city,latitude,longitude,country,population
New York,40.6943,-73.9249,United States,18908608
Los Angeles,34.1141,-118.4068,United States,11922389
Chicago,41.8375,-87.6866,United States,8497759
Miami,25.784,-80.2101,United States,6080145
Houston,29.786,-95.3885,United States,5970127
Dallas,32.7935,-96.7667,United States,5830932
Philadelphia,40.0077,-75.1339,United States,5683533
Atlanta,33.7628,-84.422,United States,5180179
Washington,38.9047,-77.0163,United States,5116378
Boston,42.3188,-71.0852,United States,4328315
Phoenix,33.5722,-112.0892,United States,4064275
Detroit,42.3834,-83.1024,United States,3725908
Seattle,47.6211,-122.3244,United States,3561397
San Francisco,37.7558,-122.4449,United States,3364979
San Diego,32.8313,-117.1222,United States,3046560
Minneapolis,44.9635,-93.2678,United States,2892569
Tampa,27.9945,-82.4447,United States,2861173
Brooklyn,40.6501,-73.9496,United States,2736074
Denver,39.762,-104.8758,United States,2687458
Queens,40.7498,-73.7976,United States,2405464
Riverside,33.9381,-117.3949,United States,2332836
Las Vegas,36.2333,-115.2654,United States,2248047
Baltimore,39.3051,-76.6144,United States,2196524
St. Louis,38.6359,-90.2451,United States,2130881
Portland,45.5371,-122.65,United States,2095808
San Antonio,29.4632,-98.5238,United States,2058444
Sacramento,38.5677,-121.4685,United States,1957738
Austin,30.3005,-97.7522,United States,1905945
Orlando,28.4773,-81.337,United States,1882705
San Jose,37.3012,-121.848,United States,1771413
Pittsburgh,40.4397,-79.9763,United States,1749091
Indianapolis,39.7771,-86.1458,United States,1729849
Manhattan,40.7834,-73.9662,United States,1694263
Cincinnati,39.1413,-84.506,United States,1692702
Kansas City,39.1238,-94.5541,United States,1689556
Cleveland,41.4764,-81.6805,United States,1680247
Columbus,39.9862,-82.9855,United States,1572546
Bronx,40.8501,-73.8662,United States,1472654
Virginia Beach,36.7335,-76.0435,United States,1443020
Charlotte,35.2083,-80.8303,United States,1427444
Milwaukee,43.0642,-87.9675,United States,1290940
Providence,41.823,-71.4187,United States,1290271
Jacksonville,30.3322,-81.6749,United States,1288298
Nashville,36.1715,-86.7842,United States,1177657
Salt Lake City,40.7776,-111.9311,United States,1173879
Raleigh,35.8324,-78.6429,United States,1163152
Richmond,37.5295,-77.4756,United States,1073223
Memphis,35.1087,-89.9663,United States,1037998
Oklahoma City,35.4676,-97.5136,United States,998806
Hartford,41.7661,-72.6834,United States,974684
Louisville,38.1663,-85.6485,United States,963812
Buffalo,42.9018,-78.8487,United States,944589
New Orleans,30.0687,-89.9288,United States,932759
Fort Worth,32.7817,-97.3474,United States,924663
