origin_country,destination_country,total_migrants
Afghanistan,Australia,55590.0
Afghanistan,Bulgaria,693.0
Afghanistan,Canada,60820.0
Afghanistan,Colombia,386.0
Afghanistan,Czech Republic,452.0
Afghanistan,Denmark,12913.0
Afghanistan,Estonia,67.0
Afghanistan,France,28169.287010908127
Afghanistan,Greece,10127.0
Afghanistan,Hungary,914.0
Afghanistan,Italy,12265.0
Afghanistan,LUX,585.0
Afghanistan,Latvia,41.0
Afghanistan,Lithuania,35.0
Afghanistan,New Zealand,3366.0
Afghanistan,Norway,16556.0
Afghanistan,Poland,350.0
Afghanistan,Portugal,92.0
Afghanistan,Slovakia,194.0
Afghanistan,Slovenia,52.0
Afghanistan,Spain,832.0
Afghanistan,Sweden,55990.0
Afghanistan,Switzerland,15409.989135742188
Afghanistan,Turkey,138579.0
Afghanistan,United States,97897.0
Africa,Australia,511.0
Africa,United States,212537.0
Albania,Australia,3544.0
Albania,Bulgaria,441.0
Albania,Canada,18790.0
Albania,Colombia,145.0
Albania,Czech Republic,598.0
Albania,Denmark,541.0
Albania,Estonia,61.0
Albania,France,28816.117289482045
Albania,Greece,410095.0
Albania,Hungary,547.0
Albania,Italy,493356.0
Albania,LUX,1373.0
Albania,Latvia,14.0
Albania,Lithuania,9.0
Albania,New Zealand,57.0
Albania,Norway,2666.0
Albania,Poland,379.0
Albania,Portugal,88.0
Albania,Slovakia,75.0
Albania,Slovenia,183.0
Albania,Spain,4287.0
Albania,Sweden,7385.0
Albania,Switzerland,5875.915002822876
Albania,Turkey,3631.0
Albania,United States,105480.0
Algeria,Australia,1459.0
Algeria,Bulgaria,162.0
Algeria,Canada,79105.0
Algeria,Colombia,53.0
Algeria,Czech Republic,746.0
Algeria,Denmark,945.0
Algeria,Estonia,39.0
Algeria,France,1354113.7071242332
Algeria,Greece,997.0
Algeria,Hungary,918.0
Algeria,Italy,20377.0
Algeria,LUX,1234.0
Algeria,Latvia,18.0
Algeria,Lithuania,26.0
Algeria,New Zealand,87.0
Algeria,Norway,1284.0
Algeria,Poland,1040.0
Algeria,Portugal,549.0
Algeria,Slovakia,83.0
Algeria,Slovenia,44.0
Algeria,Spain,66496.0
Algeria,Sweden,3395.0
Algeria,Switzerland,8762.381959915161
Algeria,Turkey,10807.0
Algeria,United States,29173.0
Angola,Australia,503.0
Angola,Bulgaria,48.0
Angola,Canada,4500.0
Angola,Colombia,42.0
Angola,Czech Republic,151.0
Angola,Denmark,140.0
Angola,Estonia,4.0
Angola,France,22040.462113055695
Angola,Greece,44.0
Angola,Hungary,153.0
Angola,Italy,1748.0
Angola,LUX,1112.0
Angola,Latvia,2.0
Angola,Norway,487.0
Angola,Poland,142.0
Angola,Portugal,149617.0
Angola,Slovakia,30.0
Angola,Slovenia,3.0
Angola,Spain,3169.0
Angola,Sweden,795.0
Angola,Switzerland,5505.750021930771
Angola,Turkey,1394.0
Argentina,Australia,17642.0
Argentina,Bulgaria,98.0
Argentina,Canada,20735.0
Argentina,Colombia,3844.0
Argentina,Czech Republic,521.0
Argentina,Denmark,3599.0
Argentina,Estonia,108.0
Argentina,France,14434.34209094034
Argentina,Greece,696.0
Argentina,Hungary,524.0
Argentina,Italy,71603.0
Argentina,LUX,562.0
Argentina,Latvia,21.0
Argentina,Lithuania,62.0
Argentina,Mexico,17341.0
Argentina,New Zealand,3219.0
