country,total_outbound,total_inbound,top_outbound_countries,top_inbound_countries
Afghanistan,512375.2761466503,0.0,"['Turkey', 'United States', 'Canada']",[]
Africa,213048.0,0.0,"['United States', 'Australia']",[]
Albania,1088437.032292305,0.0,"['Italy', 'Greece', 'United States']",[]
Algeria,1581913.0890841484,0.0,"['France', 'Canada', 'Spain']",[]
Angola,191630.21213498648,0.0,"['Portugal', 'France', 'Switzerland']",[]
Argentina,658964.4611838816,0.0,"['Spain', 'United States', 'Italy']",[]
Australia,13221528.078213692,19616672.0,"['Australia', 'United States', 'New Zealand']","['Australia', 'United Kingdom', 'China']"
Austria,208749.96753239632,0.0,"['Switzerland', 'United States', 'Turkey']",[]
Bangladesh,596550.4044312018,0.0,"['United States', 'Italy', 'Canada']",[]
Belarus,288381.3629348278,0.0,"['Poland', 'United States', 'Latvia']",[]
Belgium,395121.41655470844,0.0,"['France', 'Spain', 'United States']",[]
Bolivia,288095.53713035583,0.0,"['Spain', 'United States', 'Italy']",[]
Bosnia and Herzegovina,506180.0439674854,0.0,"['Slovenia', 'United States', 'Sweden']",[]
Brazil,1428356.9897049256,0.0,"['United States', 'Portugal', 'Japan']",[]
Bulgaria,6233893.536156654,5602067.0,"['Bulgaria', 'Turkey', 'Spain']","['Bulgaria', 'Russia', 'Ukraine']"
Cambodia,318014.7821850863,0.0,"['United States', 'France', 'Australia']",[]
Cameroon,250587.99723756313,0.0,"['France', 'United States', 'Canada']",[]
Canada,22360964.919865824,30322645.0,"['Canada', 'United States', 'Australia']","['Canada', 'India', 'China']"
Chile,301624.07217213954,0.0,"['United States', 'Spain', 'Canada']",[]
China,6196332.004346178,0.0,"['United States', 'Canada', 'South Korea']",[]
Colombia,34687793.81079793,34180812.0,"['Colombia', 'United States', 'Spain']","['Colombia', 'Venezuela', 'Unknown']"
Croatia,243383.99981474876,0.0,"['Australia', 'Slovenia', 'United States']",[]
Cuba,1561974.3084352016,0.0,"['United States', 'Spain', 'Italy']",[]
