destination_country,origin_country,gender,age,number
Australia,Africa,Female,15-24,8.0
Australia,Africa,Female,25-64,153.0
Australia,Africa,Female,65+,151.0
Australia,Africa,Male,15-24,6.0
Australia,Africa,Male,25-64,109.0
Australia,Africa,Male,65+,84.0
Australia,Angola,Female,25-64,190.0
Australia,Angola,Female,65+,48.0
Australia,Angola,Male,15-24,5.0
Australia,Angola,Male,25-64,217.0
Australia,Angola,Male,65+,43.0
Australia,Albania,Female,15-24,85.0
Australia,Albania,Female,25-64,1445.0
Australia,Albania,Female,65+,244.0
Australia,Albania,Male,15-24,67.0
Australia,Albania,Male,25-64,1419.0
Australia,Albania,Male,65+,284.0
Australia,Afghanistan,Female,15-24,4444.0
Australia,Afghanistan,Female,25-64,18164.0
Australia,Afghanistan,Female,65+,1263.0
Australia,Afghanistan,Male,15-24,4783.0
Australia,Afghanistan,Male,25-64,25457.0
Australia,Afghanistan,Male,65+,1479.0
Australia,Argentina,Female,15-24,322.0
Australia,Argentina,Female,25-64,6822.0
Australia,Argentina,Female,65+,2094.0
Australia,Argentina,Male,15-24,311.0
Australia,Argentina,Male,25-64,6356.0
Australia,Argentina,Male,65+,1737.0
Australia,Australia,Female,15-24,1127497.0
Australia,Australia,Female,25-64,4084494.0
Australia,Australia,Female,65+,1388343.0
Australia,Australia,Male,15-24,1176531.0
Australia,Australia,Male,25-64,3979309.0
Australia,Australia,Male,65+,1189787.0
Australia,Austria,Female,15-24,140.0
Australia,Austria,Female,25-64,2540.0
Australia,Austria,Female,65+,4264.0
Australia,Austria,Male,15-24,113.0
Australia,Austria,Male,25-64,2259.0
Australia,Austria,Male,65+,4880.0
Australia,Bulgaria,Female,15-24,72.0
Australia,Bulgaria,Female,25-64,1496.0
Australia,Bulgaria,Female,65+,418.0
Australia,Bulgaria,Male,15-24,82.0
Australia,Bulgaria,Male,25-64,1101.0
Australia,Bulgaria,Male,65+,390.0
Australia,Bolivia,Female,15-24,41.0
Australia,Bolivia,Female,25-64,397.0
Australia,Bolivia,Female,65+,109.0
Australia,Bolivia,Male,15-24,39.0
Australia,Bolivia,Male,25-64,300.0
Australia,Bolivia,Male,65+,85.0
Australia,Bangladesh,Female,15-24,1954.0
Australia,Bangladesh,Female,25-64,19619.0
Australia,Bangladesh,Female,65+,697.0
Australia,Bangladesh,Male,15-24,2337.0
Australia,Bangladesh,Male,25-64,22435.0
Australia,Bangladesh,Male,65+,1143.0
Australia,Belgium,Female,15-24,251.0
Australia,Belgium,Female,25-64,2261.0
Australia,Belgium,Female,65+,954.0
Australia,Belgium,Male,15-24,244.0
Australia,Belgium,Male,25-64,2269.0
Australia,Belgium,Male,65+,847.0
Australia,Brazil,Female,15-24,1537.0
Australia,Brazil,Female,25-64,21971.0
Australia,Brazil,Female,65+,719.0
Australia,Brazil,Male,15-24,1343.0
Australia,Brazil,Male,25-64,19034.0
Australia,Brazil,Male,65+,399.0
Australia,Chile,Female,15-24,421.0
Australia,Chile,Female,25-64,10458.0
Australia,Chile,Female,65+,4479.0
Australia,Chile,Male,15-24,428.0
Australia,Chile,Male,25-64,9697.0
Australia,Chile,Male,65+,3730.0
Australia,Côte d'Ivoire,Female,15-24,127.0
Australia,Côte d'Ivoire,Female,25-64,160.0
Australia,Côte d'Ivoire,Male,15-24,118.0
Australia,Côte d'Ivoire,Male,25-64,149.0
Australia,Côte d'Ivoire,Male,65+,8.0
Australia,Cameroon,Female,15-24,25.0
Australia,Cameroon,Female,25-64,181.0
Australia,Cameroon,Female,65+,6.0
Australia,Cameroon,Male,15-24,18.0
Australia,Cameroon,Male,25-64,228.0
Australia,Cameroon,Male,65+,5.0
Australia,Democratic Republic of the Congo,Female,15-24,745.0
Australia,Democratic Republic of the Congo,Female,25-64,1960.0
Australia,Democratic Republic of the Congo,Female,65+,118.0
Australia,Democratic Republic of the Congo,Male,15-24,778.0
Australia,Democratic Republic of the Congo,Male,25-64,1884.0
Australia,Democratic Republic of the Congo,Male,65+,91.0
Australia,Colombia,Female,15-24,1373.0
Australia,Colombia,Female,25-64,16214.0
Australia,Colombia,Female,65+,787.0
Australia,Colombia,Male,15-24,1475.0
Australia,Colombia,Male,25-64,13969.0
Australia,Colombia,Male,65+,463.0
Australia,Czech Republic,Female,15-24,101.0
Australia,Czech Republic,Female,25-64,2981.0
Australia,Czech Republic,Female,65+,1270.0
Australia,Czech Republic,Male,15-24,107.0
Australia,Czech Republic,Male,25-64,1954.0
Australia,Czech Republic,Male,65+,1179.0
Australia,Slovakia,Female,15-24,43.0
Australia,Slovakia,Female,25-64,2162.0
Australia,Slovakia,Female,65+,466.0
Australia,Slovakia,Male,15-24,40.0
Australia,Slovakia,Male,25-64,1512.0
Australia,Slovakia,Male,65+,479.0
Australia,Cuba,Female,15-24,16.0
Australia,Cuba,Female,25-64,275.0
Australia,Cuba,Female,65+,86.0
Australia,Cuba,Male,15-24,26.0
Australia,Cuba,Male,25-64,344.0
Australia,Cuba,Male,65+,71.0
Australia,Cambodia,Female,15-24,1454.0
Australia,Cambodia,Female,25-64,16078.0
Australia,Cambodia,Female,65+,3703.0
Australia,Cambodia,Male,15-24,1456.0
Australia,Cambodia,Male,25-64,11871.0
Australia,Cambodia,Male,65+,3177.0
Australia,Canada,Female,15-24,1855.0
Australia,Canada,Female,25-64,20518.0
Australia,Canada,Female,65+,3502.0
Australia,Canada,Male,15-24,1544.0
Australia,Canada,Male,25-64,15718.0
Australia,Canada,Male,65+,3411.0
Australia,China,Female,15-24,34663.0
Australia,China,Female,25-64,290279.0
Australia,China,Female,65+,53539.0
Australia,China,Male,15-24,35126.0
Australia,China,Male,25-64,211681.0
Australia,China,Male,65+,45449.0
Australia,Germany,Female,15-24,1755.0
Australia,Germany,Female,25-64,24220.0
Australia,Germany,Female,65+,27400.0
Australia,Germany,Male,15-24,1469.0
Australia,Germany,Male,25-64,19502.0
Australia,Germany,Male,65+,25070.0
Australia,Dominican Republic,Female,15-24,10.0
Australia,Dominican Republic,Female,25-64,100.0
Australia,Dominican Republic,Female,65+,3.0
Australia,Dominican Republic,Male,15-24,3.0
Australia,Dominican Republic,Male,25-64,65.0
Australia,Algeria,Female,15-24,15.0
Australia,Algeria,Female,25-64,449.0
Australia,Algeria,Female,65+,160.0
Australia,Algeria,Male,15-24,18.0
Australia,Algeria,Male,25-64,619.0
Australia,Algeria,Male,65+,198.0
Australia,Ecuador,Female,15-24,68.0
Australia,Ecuador,Female,25-64,969.0
Australia,Ecuador,Female,65+,270.0
Australia,Ecuador,Male,15-24,72.0
Australia,Ecuador,Male,25-64,811.0
Australia,Ecuador,Male,65+,254.0
Australia,Eritrea,Female,15-24,453.0
Australia,Eritrea,Female,25-64,1960.0
Australia,Eritrea,Female,65+,221.0
Australia,Eritrea,Male,15-24,407.0
Australia,Eritrea,Male,25-64,1804.0
Australia,Eritrea,Male,65+,228.0
Australia,Ethiopia,Female,15-24,1087.0
Australia,Ethiopia,Female,25-64,5645.0
Australia,Ethiopia,Female,65+,207.0
Australia,Ethiopia,Male,15-24,873.0
Australia,Ethiopia,Male,25-64,5057.0
Australia,Ethiopia,Male,65+,259.0
Australia,Egypt,Female,15-24,1458.0
Australia,Egypt,Female,25-64,10000.0
Australia,Egypt,Female,65+,7916.0
Australia,Egypt,Male,15-24,1617.0
Australia,Egypt,Male,25-64,11313.0
Australia,Egypt,Male,65+,7837.0
Australia,FJI,Female,15-24,1784.0
Australia,FJI,Female,25-64,27874.0
Australia,FJI,Female,65+,6606.0
Australia,FJI,Male,15-24,1821.0
Australia,FJI,Male,25-64,24212.0
Australia,FJI,Male,65+,5204.0
Australia,Bosnia and Herzegovina,Female,15-24,198.0
Australia,Bosnia and Herzegovina,Female,25-64,10121.0
Australia,Bosnia and Herzegovina,Female,65+,3200.0
Australia,Bosnia and Herzegovina,Male,15-24,203.0
Australia,Bosnia and Herzegovina,Male,25-64,9194.0
Australia,Bosnia and Herzegovina,Male,65+,3100.0
Australia,Croatia,Female,15-24,127.0
Australia,Croatia,Female,25-64,9371.0
Australia,Croatia,Female,65+,12773.0
Australia,Croatia,Male,15-24,109.0
Australia,Croatia,Male,25-64,8814.0
Australia,Croatia,Male,65+,11922.0
Australia,North Macedonia,Female,15-24,326.0
Australia,North Macedonia,Female,25-64,11640.0
Australia,North Macedonia,Female,65+,9278.0
Australia,North Macedonia,Male,15-24,305.0
Australia,North Macedonia,Male,25-64,10706.0
Australia,North Macedonia,Male,65+,9245.0
Australia,Serbia,Female,15-24,452.0
Australia,Serbia,Female,25-64,8598.0
Australia,Serbia,Female,65+,4863.0
Australia,Serbia,Male,15-24,513.0
Australia,Serbia,Male,25-64,7824.0
Australia,Serbia,Male,65+,4313.0
Australia,Finland,Female,15-24,157.0
Australia,Finland,Female,25-64,2481.0
Australia,Finland,Female,65+,2077.0
Australia,Finland,Male,15-24,78.0
Australia,Finland,Male,25-64,1301.0
Australia,Finland,Male,65+,1485.0
Australia,France,Female,15-24,1247.0
Australia,France,Female,25-64,13573.0
Australia,France,Female,65+,3145.0
Australia,France,Male,15-24,1266.0
Australia,France,Male,25-64,14250.0
Australia,France,Male,65+,2770.0
